Permit Number,County,Facility Name,Facility Type,Operating Status,Latitude,Longitude,Dominion,Reporting Year,Reporting Quarter,"Remaining Capacity 
(cubic yards) ",Average Daily Tons,Fill Rate (cubic yards per day),Years Remaining, Total Tons 
001-006D(SL),Appling,Appling Co - Roaring Creek Ph 1-2 SL,Construction and Demolition Landfill,Operating,31.88405167,-82.22754722,Public,FY 2011,4," 433,112 ",26,52,33," 6,549 "
002-009D(MSWL),Atkinson,Atkinson Co - SR 50 MSWL,Municipal Solid Waste Landfill,Operating,31.319415,-82.96428583,Public,FY 2011,4," 3,108,720 ",185,247,50," 73,172 "
002-009D(MSWL),Atkinson,Atkinson Co - SR 50 MSWL,Municipal Solid Waste Landfill,Operating,31.319415,-82.96428583,Public,FY 2011,," 740,679 ",105,144,21,  -    
005-017D(SL),Baldwin,"Baldwin Co - Union Hill Ch Rd, Ph 3 MSWL",Municipal Solid Waste Landfill,Operating,32.96876306,-83.33781444,Public,FY 2011,1," 21,000 ",0,0,0, 0 
006-009D(MSWL),Banks,Chambers R&B Landfill Site 2,Municipal Solid Waste Landfill,Operating,34.349715,-83.42533028,Private Commercial,FY 2011,4," 16,401,596 ",1637,2183,26," 468,214 "
007-020D(SL),Barrow,Republic Waste - Oak Grove SR 324,Municipal Solid Waste Landfill,Operating,33.96591056,-83.77283806,Private Commercial,FY 2011,4," 9,170,983 ",1294,1415,23," 352,943 "
008-008D(SL),Bartow,Bartow Co - SR 294 Emerson SL Ph 1 C&D,Construction and Demolition Landfill,Operating,34.14390944,-84.76293556,Public,FY 2011,4," 10,400 ",1,2,25, 283 
008-016D(SL),Bartow,Bartow Co - SR 294 Emerson MSWL Ph 2-3,Municipal Solid Waste Landfill,Operating,34.14390944,-84.76293556,Public,FY 2011,4," 756,000 ",287,435,6," 82,754 "
009-005D(SL),Ben Hill,"Fitzgerald, Kiochee Church Rd, Ph 2",Municipal Solid Waste Landfill,Operating,31.74601583,-83.19379778,Public,FY 2011,4," 66,888 ",13,23,11," 3,252 "
009-005D(SL),Ben Hill,"Fitzgerald, Kiochee Church Rd, Ph 2",Municipal Solid Waste Landfill,Operating,31.74601583,-83.19379778,Public,FY 2011,," 631,174 ",0,0,0,  -    
011-017D(SL),Bibb,Macon - Walker Rd Ph 2 SL,Unlined Sanitary Landfill,Operating,32.82249694,-83.61994944,Public,FY 2011,4," 2,046,783 ",234,426,15," 79,062 "
011-018D(L),Bibb,Republic Services - Swift Creek,Construction and Demolition Landfill,Operating,32.82345833,-83.51756944,Private Commercial,FY 2011,," 494,869 ",24,42,44," 6,409 "
011-026D(SL),Bibb,Republic Services - Swift Creek MSW,Municipal Solid Waste Landfill,Operating,,,Private Commercial,FY 2011,," 406,516 ",595,821,2," 158,861 "
016-013P(INC),Bulloch,"Ellis Wood Contracting, Inc ACD",Air Curtain Destructor,Operating,,,,FY 2011,,,,,, 972 
017-002D(SL),Burke,Burke Co - Clarke Rd SL,Construction and Demolition Landfill,Operating,33.08094056,-81.96482528,Public,FY 2011,3," 76,459 ",18,47,6," 20,226 "
018-008D(MSWL),Butts,Republic Services - Pine Ridge Recycling MSWL,Municipal Solid Waste Landfill,Operating,33.23628139,-84.12280361,Private Commercial,FY 2011,4," 24,926,138 ",3300,4125,22," 818,476 "
020-017D(MSWL),Camden,Camden Co - SR 110 MSWL,Municipal Solid Waste Landfill,Operating,30.85909028,-81.85451556,Public,FY 2011,4," 2,406 ",309,622,12," 94,000 "
020-019D(C&D),Camden,Camden Co - SR 110 C/D/I Waste Landfill,Construction and Demolition Landfill,Operating,30.84833333,-81.86388889,Public,FY 2011,4," 25,561,415 ",175,254,322," 54,627 "
021-006D(MSWL),Candler,Candler Co - SR 121 Ph 2 MSWL,Municipal Solid Waste Landfill,Operating,32.45862778,-82.06678417,Public,FY 2011,4," 298,265 ",23,45,26," 5,366 "
024-006D(SL),Charlton,"Chesser Island Road Landfill, Inc MSWL",Municipal Solid Waste Landfill,Operating,30.70714528,-82.08606417,Private Commercial,FY 2011,4," 59,832,930 ",4,5,43," 1,257,264 "
025-051D(SL),Chatham,Savannah - Dean Forest Rd SL,Municipal Solid Waste Landfill,Operating,32.05817139,-81.2147375,Public,FY 2011,4," 1,324,998 ",189,379,11," 103,914 "
025-070D(MSWL),Chatham,Superior Landfill & Recycling Center Site 2 MSWL,Municipal Solid Waste Landfill,Operating,32.02999639,-81.27162361,Private Commercial,FY 2011,4," 13,471,339 ",1560,2026,24," 435,120 "
025-072D(L)(I),Chatham,"Republic Services - Savannah Regional Industrial Landfill, Inc",Industrial Landfill,Operating,32.14159722,-81.17872806,Commercial Industrial,FY 2011,4," 2,411,500 ",571,680,12," 141,497 "
028-039D(SL),Cherokee,"Cherokee Co - Pine Bluff Landfill, Inc",Municipal Solid Waste Landfill,Operating,34.28519,-84.38857889,Private Commercial,FY 2011,4," 43,731,628 ",3464,4619,33," 990,558 "
028-040D(C&D),Cherokee,Cherokee Co - Swims SR 92 Ph 5,Construction and Demolition Landfill,Operating,34.08965194,-84.55906972,Private Commercial,FY 2011,4," 39,750 ",43,86,2," 13,059 "
028-043D(C&D),Cherokee,"Waste Pro of GA, Inc d/b/a Cherokee C&D Landfill",Construction and Demolition Landfill,Operating,34.30916667,-84.41138889,Private Commercial,FY 2011,4," 2,451,796 ",128,170,50," 36,545 "
029-012D(SL),Clarke,Clarke Co - Athens Dunlap Rd SL Ph 2-4,Municipal Solid Waste Landfill,Operating,33.92406806,-83.26550222,Public,FY 2011,4," 895,343 ",201,432,7," 61,334 "
