Name,Phone,Address,City,State,County,Zip,Latitude,Longitude,Feedstock Category,# Employees,Feedstock Detail,Composting Technology,Dominion,Permit Type,Products,NAICS Code,NAICS Products,Website,Annual Sales ,Contact,Notes
"Advanced Drainage Systems - ADS (formerly Hancor, Inc.)",229-273-1081,1013 West 11th Ave.,Cordele,GA,Crisp,31015-2943,31.968695,-83.79696,Plastic,25,Plastic,N/A,,,"Plastic pipe
",326122,"326122 - Pipe, rigid plastics, manufacturing",www.ads-pipe.com,,Julie Pratt ,
"Advanced Drainage Systems - ADS (formerly Hancor, Inc.)",478-988-8010,1005 Valley Dr.,Perry,GA,Houston,31069,32.465647,-83.776816,Plastic,,Plastic,N/A,,,"Plastic pipe
",326122,"326122 - Pipe, rigid plastics, manufacturing",www.ads-pipe.com,,,
"Aeris Services, Inc.",678-715-8700,6535 Bankhead Hwy.,Winston,GA,Douglas,30134,33.7392297,-84.7885712,Plastic,,Plastic,N/A,,,Crude oil,,,www.aeriscomputers.com,,Anthony Robertson,
"Aeris Services, Inc.",678-715-8700,,Tallapoosa,GA,Haralson,30176,33.7445499,-85.2880077,Plastic,,Plastic,N/A,,,Crude oil,,,www.aeriscomputers.com,,Anthony Robertson,
Anchor Glass Container Corp.,478-922-4271,1044 Booth Rd.,Warner Robins,GA,Houston,31088,32.586745,-83.591784,Glass,350,Glass,N/A,,,"Flint, amber, green and other colored glass containers",327213,327213 - Glass Container Manufacturing ,www.anchorglass.com," $100,000,000 ",Jeff Gordon,
Applegate Insulation Systems,888-427-7534,1241 Meadowbrook Dr.,Eastanollee,GA,Stephens,30538,34.537602,-83.27783,Paper,50,Paper,N/A,,,Reconstituted wood insulation and roofing materials,"321,219,325,221,322,000,000,000,000,000","321219 - Insulation & Roofing Materials: Wood, Reconstitute…; 325221 - Fiber & Fiber Products: Synthetic Cellulosic; 322110 - Wood Prdts: Mulch or Sawdust; 321999 - Pulp Mills; 333111 - Machinery & Equipment: Farm ",www.applegateinsulation.com," $3,200,000 ",Randy Beckett,
"Armstrong World Industries, Inc.",478-788-4811,4520 Broadway,Macon,GA,Bibb,31213,32.77936,-83.655609,Paper,490,"Paper, ceiling tiles",N/A,,,Ceiling tiles,,,www.armstrong.com,,Beth,
Arrendale State Prison,706-776-4700,2023 Gainesville Hwy. South,Alto,GA,Habersham,30510,34.450933,-83.596077,Organics,,Food residuals,N/A,Private,PBR,Compost,,,,,Tony Turpin,Unable to verify operational status. Not open to public. Processes own material.
Athens-Clarke Co. ,706-613-3508,5700 Lexington Rd.,Winterville,GA,Clarke,30683,33.916745,-83.270192,Organics,12,"Yard trimmings, biosolids, food residuals",Windrow,Public,SW (Subtitle D) 029012DPSLP,Compost,325314,325314 - Compost manufacturing,www.athensclarkecounty.com," $46,243 ",John Mincemoyer,
Atlanta Pallets & Service,404-766-2339,3405 Empire Blvd. SW,Atlanta,GA,Fulton,30321,33.66227,-84.392419,Wood,,Wood pallets,N/A,,,Wood pallets,,,www.atlantapallets.com,,Jeff Lewis,
