County,Facility_Name,Permit_Number,Facility_Type,Facility_Address,Facility_City,Facility_State,Facility_Zip,Dominion,Contact_Name,Contact_Address,Contact_City,Contact_State,Contact_Zip,Manager_Name,Manager_Address,Manager_City,Manager_State,Manager_Zip,Contact_AreaCode,Contact_Phone,Manager_AreaCode,Manager_Phone,Latitude ,Longitude ,Notes
Baldwin,Attaway Transfer Station,PBR-005-28TS,TS,150 Dundee Dr.,Milledgeville,GA,31061,Private Commercial,"Attaway Recycling, LLC",150 Dundee Dr.,Milledgeville,GA,31061,Robbie Attaway,520 Hwy. 22 West,Milledgville,GA,31061,478,414-1675,478,414-1675,33.121,-83.2063,
Baldwin,Advanced Disposal Services - Middle Georgia Transfer Station,PBR-005-12TS,TS,154 Dundee Dr.,Milledgeville,GA,31061,Private,Advanced Disposal Services,"7915 Baymeadows Way, Suite 300",Jacksonville,FL,32256,Christain B. Mills,"7915 Baymeadows Way, Suite 300",Jacksonville,FL,32256,904,737-7900,478,453-4435,33.11882,-83.20836,
Baldwin,Baldwin County Board of Commissioners Transfer Station #2,PBR-005-14TS,TS,207 Lovers Lane,Milledgeville,GA,31061,Public,Baldwin County Board of Commissioners,"121 N. Wilkinson St., Suite 314",Milledgeville,GA,31061,,,,,,478,445-4791,,,33.094292,-83.147171,
Baldwin,Advanced Disposal Services - Britt Waters Road Transfer Station,PBR-005-26TS,TS,131 Britt Waters Rd.,Milledgeville,GA,31061,Private,Advanced Disposal Services,"7915 Baymeadows Way, Suite 300",Jacksonville,FL,32256,"Walter H. Hall, Jr.","7915 Baymeadows Way, Suite 300",Jacksonville,FL,32256,904,737-7900,904,737-7900,33.08809,-83.27824,
Baldwin,Baldwin County Board of Commissioners Transfer Station #3,PBR-005-15TS,TS,100 Frank Bone Dr.,Milledgeville,GA,31061,Public,Baldwin County Board of Commissioners,"121 N. Wilkinson St., Suite 314",Milledgeville,GA,31061,,,,,,478,445-4791,,,33.072554,-83.247548,
Baldwin,Baldwin County Board of Commissioners Transfer Station #1,PBR-005-13TS,TS,115 Thomas Field Rd.,Milledgeville,GA,31061,Public,Baldwin County Board of Commissioners,"121 N. Wilkinson St., Suite 314",Milledgeville,GA,31061,,,,,,478,445-4791,,,33.039357,-83.233735,
Barrow,211 Waste Disposal,PBR-007-13TS,TS,1392 Hwy. 211 NE,Winder,GA,30680,Private,Tommy Ledbetter,1370 Hwy. 211 NE,Winder,GA,30680,Stacey Stern,1370 Hwy. 211 NE,Winder,GA,30680,770,307-2796,770,307-2796,34.02477,-83.61978,
Bartow,"Baxter Waste Systems, Inc.",PBR-008-18TS,TS,365 Peeples Valley Rd.,Cartersville,GA,30120,Private,Jeff Baxter,1534 Hwy. 411 NE,Cartersville,GA,30120,,,,,,770,386-4775,,,34.22533,-84.80498,
Bartow,Advanced Disposal Services - Cartersville Transfer Station,"PBR-008-24COL,TS",TS,125 Riverside Dr.,Cartersville,GA,30120,Private,"Advanced Disposal Services, Operator; Felton Properties, LLC, Owner","9995 Gate Pkwy., Suite 200",Jacksonville,FL,32246,"Walter H. Hall, Jr.","9995 Gate Pkwy., Suite 200",Jacksonville,FL,32246,904,737-7900,678,792-7000,34.147608,-84.848966,
Bartow,"CFM Environmental Services, Inc.",PBR-008-26TS,TS,225 Industrial Park Rd. NE,Cartersville,GA,30121,Private Commercial,Raymond L. Martin,3885 Brookwood Ct.,Decatur,GA,30034,Raymond L. Martin,225 Industrial Park Rd.,Cartersville,GA,30121,770,607-8647,770,607-8617,33.08809,-83.27824,
